ORIGIN,DEST
DCA,ORD
LGA,IAH
IAH,BTR
SBN,ORD
ORD,DCA
CVG,ORD
ORF,ORD
ORD,DCA
IAH,LBB
EWR,DCA
CLT,EWR
BNA,EWR
ORD,ERI
CLT,ORD
DCA,ORD
ORD,TUL
ORD,HDN
MOB,IAH
EWR,RIC
ORD,SAV
TYS,IAH
HDN,ORD
HSV,ORD
RIC,ORD
ORD,JAX
LBB,IAH
STL,IAH
CVG,IAH
TUL,IAH
ABQ,BWI
ABQ,HOU
ABQ,LAX
ABQ,OAK
ALB,TPA
ATL,CMH
ATL,DAL
ATL,DAL
ATL,DAL
ATL,DEN
ATL,HOU
ATL,IND
ATL,LAS
ATL,LGA
ATL,LGA
ATL,PHX
ATL,PHX
ATL,PHX
ATL,TPA
AUS,HOU
AUS,PHX
BDL,MCO
BHM,DAL
BHM,HOU
BHM,LAS
BNA,CLE
BNA,DAL
BNA,DEN
BNA,RDU
BNA,TPA
BOI,GEG
BOI,LAS
BOI,SMF
BUR,OAK
BUR,OAK
BUR,OAK
BUR,PDX
BUR,PHX
BUR,SFO
BUR,SFO
BUR,SFO
BUR,SJC
BWI,AUS
BWI,AUS
BWI,BDL
BWI,HOU
BWI,MDW
BWI,OKC
BWI,ORF
BWI,RDU
BWI,RSW
BWI,SAT
BWI,SAT
BWI,SLC
CHS,BWI
CHS,DAL
CLE,MDW
CLT,HOU
DAL,ABQ
DAL,DEN
DAL,ELP
DAL,ELP
DAL,FLL
DAL,HOU
DAL,LAX
DAL,LAX
DAL,LAX
DAL,LIT
DAL,MEM
DAL,OAK
DAL,SAN
DAL,SAT
DAL,SNA
DAL,TUL
DCA,DAL
DEN,BWI
DEN,CMH
DEN,HOU
DEN,IND
DEN,LAS
DEN,MCO
DEN,MDW
DEN,PDX
DEN,PHX
DEN,PHX
DEN,SAN
DEN,SAT
DEN,SFO
DEN,SJC
DEN,SLC
DEN,TPA
DTW,PHX
ELP,HOU
ELP,LAS
FLL,MCI
GEG,BOI
HNL,OGG
HOU,ABQ
HOU,ATL
HOU,BHM
HOU,BWI
HOU,CHS
HOU,DAL
HOU,DAL
HOU,DAL
HOU,DEN
HOU,ELP
HOU,ELP
HOU,ELP
HOU,HRL
HOU,IND
HOU,LGA
HOU,MAF
HOU,MCI
HOU,MCO
HOU,MDW
HOU,MSY
HOU,PHX
HOU,PHX
HOU,SMF
IND,BWI
IND,HOU
ISP,BWI
LAS,AUS
LAS,AUS
LAS,BHM
LAS,BUR
LAS,BUR
LAS,LAX
LAS,MAF
LAS,MCI
LAS,OAK
LAS,OAK
LAS,OAK
LAS,ONT
LAS,PDX
LAS,PDX
LAS,PHX
LAS,RNO
LAS,RNO
